,English,Kanji,Kana,Romaji
615,greengrocer,八百屋, やおや ,yaoya
616,vegetable,野菜, やさい ,yasai
617,"easy, simple",易しい, やさしい ,yasashii
618,cheap,安い, やすい ,yasui
619,"rest,holiday",休み, やすみ ,yasumi
620,to rest,休む, やすむ ,yasumu
621,eight,八つ, やっつ ,yaっtsu
622,mountain,山, やま ,yama
623,to do,-,やる ,yaru
624,evening,夕方, ゆうがた ,yūgata
625,dinner,夕飯, ゆうはん ,yūhan
626,post office,郵便局, ゆうびんきょく ,yūbinkyoku
627,last night,昨夜, ゆうべ ,yūbe
628,famous,有名, ゆうめい ,yūmei
629,snow,雪, ゆき ,yuki
630,to go,行く, ゆく ,yuku
631,slowly,-,ゆっくりと ,yuっkurito
632,"eight days, eighth day of the month",八日, ようか ,yōka
633,western,洋服, ようふく ,yōfuku
634,"often, well",-,よく ,yoku
635,"beside,side,width",横, よこ ,yoko
636,"four days, fouth day of the month",四日, よっか ,yoっka
637,four,四つ, よっつ ,yoっtsu
638,"to call out,to invite",呼ぶ, よぶ ,yobu
639,to read,読む, よむ ,yomu
640,"evening,night",夜, よる ,yoru
641,weak,弱い, よわい ,yowai
642,next month,来月, らいげつ ,raigetsu
643,next week,来週, らいしゅう ,raishū
644,next year,来年, らいねん ,rainen
645,radio,-,ラジオ ,rajio
646,radio cassette player,-,ラジカセ / ラジオカセット ,rajikase / rajiokasetto
647,splendid,-,りっぱ ,riっpa
648,overseas student,留学生, りゅうがくせい ,ryūgakusei
649,both parents,両親, りょうしん ,ryōshin
650,cuisine,料理, りょうり ,ryōri
651,travel,旅行, りょこう ,ryokō
652,zero,零, れい ,rei
653,refrigerator,冷蔵庫, れいぞうこ ,reizōko
654,record,-,レコード ,rekōdo
655,restaurant,-,レストラン ,resutoran
656,to practice,練習, れんしゅうする ,renshūsuru
657,corridor,廊下, ろうか ,rōka
658,six,六, ろく ,roku
659,business shirt,-,ワイシャツ ,waishatsu
660,young,若い, わかい ,wakai
661,to be understood,分かる, わかる ,wakaru
662,to forget,忘れる, わすれる ,wasureru
663,"(humble) I,myself",私, わたくし ,watakushi
664,"I,myself",私, わたし ,watashi
665,to hand over,渡す, わたす ,watasu
666,to go across,渡る, わたる ,wataru
667,bad,悪い, わるい ,warui
668,Used for comparison.,より, ほう ,hō
